GEOID_ZCTA5_20,NAMELSAD_ZCTA5_20,GEOID_COUNTY_20,NAMELSAD_COUNTY_20
,,01003,Baldwin County
,,01007,Bibb County
,,01015,Calhoun County
,,01021,Chilton County
,,01025,Clarke County
,,01029,Cleburne County
,,01031,Coffee County
,,01045,Dale County
,,01047,Dallas County
,,01097,Mobile County
,,01113,Russell County
,,02013,Aleutians East Borough
,,02016,Aleutians West Census Area
,,02020,Anchorage Municipality
,,02050,Bethel Census Area
,,02060,Bristol Bay Borough
,,02063,Chugach Census Area
,,02066,Copper River Census Area
,,02068,Denali Borough
,,02070,Dillingham Census Area
,,02090,Fairbanks North Star Borough
,,02100,Haines Borough
,,02105,Hoonah-Angoon Census Area
,,02110,Juneau City and Borough
,,02122,Kenai Peninsula Borough
,,02130,Ketchikan Gateway Borough
,,02150,Kodiak Island Borough
,,02158,Kusilvak Census Area
,,02164,Lake and Peninsula Borough
,,02170,Matanuska-Susitna Borough
,,02180,Nome Census Area
,,02185,North Slope Borough
,,02188,Northwest Arctic Borough
,,02195,Petersburg Borough
,,02198,Prince of Wales-Hyder Census Area
,,02220,Sitka City and Borough
,,02240,Southeast Fairbanks Census Area
,,02275,Wrangell City and Borough
,,02282,Yakutat City and Borough
,,02290,Yukon-Koyukuk Census Area
,,04001,Apache County
,,04003,Cochise County
,,04005,Coconino County
,,04007,Gila County
,,04009,Graham County
,,04012,La Paz County
,,04013,Maricopa County
,,04015,Mohave County
,,04017,Navajo County
,,04019,Pima County
,,04021,Pinal County
,,04025,Yavapai County
,,04027,Yuma County
,,05003,Ashley County
,,05013,Calhoun County
,,05043,Drew County
,,05045,Faulkner County
,,05047,Franklin County
,,05051,Garland County
,,05061,Howard County
,,05071,Johnson County
,,05077,Lee County
,,05083,Logan County
,,05093,Mississippi County
,,05097,Montgomery County
,,05103,Ouachita County
,,05105,Perry County
,,05107,Phillips County
,,05109,Pike County
,,05113,Polk County
,,05119,Pulaski County
,,05125,Saline County
,,05127,Scott County
,,05131,Sebastian County
,,05133,Sevier County
,,05149,Yell County
,,06001,Alameda County
,,06003,Alpine County
,,06005,Amador County
,,06007,Butte County
,,06009,Calaveras County
,,06011,Colusa County
,,06013,Contra Costa County
,,06015,Del Norte County
,,06017,El Dorado County
,,06019,Fresno County
,,06021,Glenn County
,,06023,Humboldt County
,,06025,Imperial County
,,06027,Inyo County
,,06029,Kern County
,,06031,Kings County
,,06033,Lake County
,,06035,Lassen County
,,06037,Los Angeles County
,,06039,Madera County
,,06041,Marin County
,,06043,Mariposa County
,,06045,Mendocino County
,,06047,Merced County
,,06049,Modoc County
,,06051,Mono County
,,06053,Monterey County
,,06055,Napa County
,,06057,Nevada County
,,06059,Orange County
,,06061,Placer County
,,06063,Plumas County
,,06065,Riverside County
,,06067,Sacramento County
,,06069,San Benito County
,,06071,San Bernardino County
,,06073,San Diego County
,,06075,San Francisco County
,,06079,San Luis Obispo County
,,06081,San Mateo County
,,06083,Santa Barbara County
,,06085,Santa Clara County
,,06087,Santa Cruz County
,,06089,Shasta County
,,06091,Sierra County
,,06093,Siskiyou County
,,06095,Solano County
,,06097,Sonoma County
,,06099,Stanislaus County
,,06101,Sutter County
,,06103,Tehama County
,,06105,Trinity County
,,06107,Tulare County
,,06109,Tuolumne County
,,06111,Ventura County
,,06113,Yolo County
,,06115,Yuba County
,,08041,El Paso County
,,08083,Montezuma County
,,08101,Pueblo County
,,09001,Fairfield County
,,09007,Middlesex County
,,09009,New Haven County
,,09011,New London County
,,10001,Kent County
,,10003,New Castle County
,,10005,Sussex County
,,12003,Baker County
,,12005,Bay County
,,12009,Brevard County
,,12011,Broward County
,,12013,Calhoun County
,,12015,Charlotte County
,,12017,Citrus County
,,12019,Clay County
,,12021,Collier County
,,12023,Columbia County
,,12029,Dixie County
,,12031,Duval County
,,12033,Escambia County
,,12035,Flagler County
,,12037,Franklin County
,,12043,Glades County
,,12045,Gulf County
,,12047,Hamilton County
,,12051,Hendry County
,,12053,Hernando County
,,12055,Highlands County
,,12057,Hillsborough County
,,12061,Indian River County
,,12065,Jefferson County
,,12067,Lafayette County
,,12069,Lake County
,,12071,Lee County
,,12073,Leon County
,,12075,Levy County
,,12077,Liberty County
,,12079,Madison County
,,12081,Manatee County
,,12083,Marion County
,,12085,Martin County
,,12086,Miami-Dade County
,,12087,Monroe County
,,12089,Nassau County
,,12091,Okaloosa County
,,12093,Okeechobee County
,,12095,Orange County
,,12097,Osceola County
,,12099,Palm Beach County
,,12101,Pasco County
,,12103,Pinellas County
,,12105,Polk County
,,12109,St. Johns County
,,12111,St. Lucie County
,,12113,Santa Rosa County
,,12115,Sarasota County
,,12119,Sumter County
,,12123,Taylor County
,,12127,Volusia County
,,12129,Wakulla County
,,12131,Walton County
,,12133,Washington County
,,13025,Brantley County
,,13029,Bryan County
,,13039,Camden County
,,13049,Charlton County
,,13051,Chatham County
,,13053,Chattahoochee County
,,13065,Clinch County
,,13073,Columbia County
,,13101,Echols County
,,13103,Effingham County
,,13109,Evans County
,,13127,Glynn County
,,13173,Lanier County
,,13179,Liberty County
,,13183,Long County
,,13189,McDuffie County
,,13191,McIntosh County
,,13215,Muscogee County
,,13245,Richmond County
,,13263,Talbot County
,,13267,Tattnall County
,,13299,Ware County
,,13305,Wayne County
,,15001,Hawaii County
,,15003,Honolulu County
,,15005,Kalawao County
,,15007,Kauai County
,,15009,Maui County
,,16001,Ada County
,,16003,Adams County
,,16005,Bannock County
,,16007,Bear Lake County
,,16009,Benewah County
,,16011,Bingham County
,,16013,Blaine County
,,16015,Boise County
,,16017,Bonner County
,,16019,Bonneville County
,,16021,Boundary County
,,16023,Butte County
,,16025,Camas County
,,16029,Caribou County
,,16031,Cassia County
,,16033,Clark County
,,16035,Clearwater County
,,16039,Elmore County
,,16041,Franklin County
,,16043,Fremont County
,,16045,Gem County
,,16047,Gooding County
,,16049,Idaho County
,,16051,Jefferson County
,,16053,Jerome County
,,16055,Kootenai County
,,16057,Latah County
,,16063,Lincoln County
,,16065,Madison County
,,16067,Minidoka County
,,16073,Owyhee County
,,16077,Power County
,,16079,Shoshone County
,,16083,Twin Falls County
,,16085,Valley County
,,17031,Cook County
,,17097,Lake County
,,18005,Bartholomew County
,,18013,Brown County
,,18051,Gibson County
,,18077,Jefferson County
,,18079,Jennings County
,,18089,Lake County
,,18091,LaPorte County
,,18101,Martin County
,,18127,Porter County
,,18137,Ripley County
,,19005,Allamakee County
,,20025,Clark County
,,20027,Clay County
,,20051,Ellis County
,,20061,Geary County
,,20161,Riley County
,,21007,Ballard County
,,21015,Boone County
,,21019,Boyd County
,,21023,Bracken County
,,21027,Breckinridge County
,,21029,Bullitt County
,,21037,Campbell County
,,21039,Carlisle County
,,21041,Carroll County
,,21047,Christian County
,,21055,Crittenden County
,,21059,Daviess County
,,21075,Fulton County
,,21077,Gallatin County
,,21089,Greenup County
,,21091,Hancock County
,,21093,Hardin County
,,21101,Henderson County
,,21105,Hickman County
,,21111,Jefferson County
,,21117,Kenton County
,,21135,Lewis County
,,21139,Livingston County
,,21143,Lyon County
,,21145,McCracken County
,,21161,Mason County
,,21163,Meade County
,,21185,Oldham County
,,21191,Pendleton County
,,21221,Trigg County
,,21223,Trimble County
,,21225,Union County
,,22005,Ascension Parish
,,22007,Assumption Parish
,,22023,Cameron Parish
,,22029,Concordia Parish
