geoid,name,county_name,state,state_name,county_short,DMA,county_upper,cbsa_code,cbsa_title
17051,"Fayette County, Illinois",Fayette County,IL,Illinois,Fayette,NA,FAYETTE,NA,NA
17107,"Logan County, Illinois",Logan County,IL,Illinois,Logan,NA,LOGAN,30660,"Lincoln, IL"
17165,"Saline County, Illinois",Saline County,IL,Illinois,Saline,NA,SALINE,NA,NA
17097,"Lake County, Illinois",Lake County,IL,Illinois,Lake,CHICAGO,LAKE,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
17127,"Massac County, Illinois",Massac County,IL,Illinois,Massac,NA,MASSAC,37140,"Paducah, KY-IL"
17017,"Cass County, Illinois",Cass County,IL,Illinois,Cass,NA,CASS,NA,NA
18069,"Huntington County, Indiana",Huntington County,IN,Indiana,Huntington,NA,HUNTINGTON,26540,"Huntington, IN"
18181,"White County, Indiana",White County,IN,Indiana,White,NA,WHITE,NA,NA
18075,"Jay County, Indiana",Jay County,IN,Indiana,Jay,NA,JAY,NA,NA
18145,"Shelby County, Indiana",Shelby County,IN,Indiana,Shelby,NA,SHELBY,26900,"Indianapolis-Carmel-Anderson, IN"
18153,"Sullivan County, Indiana",Sullivan County,IN,Indiana,Sullivan,NA,SULLIVAN,45460,"Terre Haute, IN"
18157,"Tippecanoe County, Indiana",Tippecanoe County,IN,Indiana,Tippecanoe,NA,TIPPECANOE,29200,"Lafayette-West Lafayette, IN"
18057,"Hamilton County, Indiana",Hamilton County,IN,Indiana,Hamilton,NA,HAMILTON,26900,"Indianapolis-Carmel-Anderson, IN"
18005,"Bartholomew County, Indiana",Bartholomew County,IN,Indiana,Bartholomew,NA,BARTHOLOMEW,18020,"Columbus, IN"
18049,"Fulton County, Indiana",Fulton County,IN,Indiana,Fulton,NA,FULTON,NA,NA
18113,"Noble County, Indiana",Noble County,IN,Indiana,Noble,NA,NOBLE,28340,"Kendallville, IN"
18019,"Clark County, Indiana",Clark County,IN,Indiana,Clark,NA,CLARK,31140,"Louisville/Jefferson County, KY-IN"
18063,"Hendricks County, Indiana",Hendricks County,IN,Indiana,Hendricks,NA,HENDRICKS,26900,"Indianapolis-Carmel-Anderson, IN"
18053,"Grant County, Indiana",Grant County,IN,Indiana,Grant,NA,GRANT,31980,"Marion, IN"
18071,"Jackson County, Indiana",Jackson County,IN,Indiana,Jackson,NA,JACKSON,42980,"Seymour, IN"
18119,"Owen County, Indiana",Owen County,IN,Indiana,Owen,NA,OWEN,14020,"Bloomington, IN"
18183,"Whitley County, Indiana",Whitley County,IN,Indiana,Whitley,NA,WHITLEY,23060,"Fort Wayne, IN"
18023,"Clinton County, Indiana",Clinton County,IN,Indiana,Clinton,NA,CLINTON,23140,"Frankfort, IN"
18161,"Union County, Indiana",Union County,IN,Indiana,Union,NA,UNION,17140,"Cincinnati, OH-KY-IN"
18029,"Dearborn County, Indiana",Dearborn County,IN,Indiana,Dearborn,NA,DEARBORN,17140,"Cincinnati, OH-KY-IN"
18093,"Lawrence County, Indiana",Lawrence County,IN,Indiana,Lawrence,NA,LAWRENCE,13260,"Bedford, IN"
18123,"Perry County, Indiana",Perry County,IN,Indiana,Perry,NA,PERRY,NA,NA
18129,"Posey County, Indiana",Posey County,IN,Indiana,Posey,NA,POSEY,21780,"Evansville, IN-KY"
18015,"Carroll County, Indiana",Carroll County,IN,Indiana,Carroll,NA,CARROLL,29200,"Lafayette-West Lafayette, IN"
18045,"Fountain County, Indiana",Fountain County,IN,Indiana,Fountain,NA,FOUNTAIN,NA,NA
18149,"Starke County, Indiana",Starke County,IN,Indiana,Starke,NA,STARKE,NA,NA
18055,"Greene County, Indiana",Greene County,IN,Indiana,Greene,NA,GREENE,NA,NA
19011,"Benton County, Iowa",Benton County,IA,Iowa,Benton,NA,BENTON,16300,"Cedar Rapids, IA"
19061,"Dubuque County, Iowa",Dubuque County,IA,Iowa,Dubuque,NA,DUBUQUE,20220,"Dubuque, IA"
19151,"Pocahontas County, Iowa",Pocahontas County,IA,Iowa,Pocahontas,NA,POCAHONTAS,NA,NA
19177,"Van Buren County, Iowa",Van Buren County,IA,Iowa,Van Buren,NA,VAN BUREN,NA,NA
19003,"Adams County, Iowa",Adams County,IA,Iowa,Adams,NA,ADAMS,NA,NA
19009,"Audubon County, Iowa",Audubon County,IA,Iowa,Audubon,NA,AUDUBON,NA,NA
19051,"Davis County, Iowa",Davis County,IA,Iowa,Davis,NA,DAVIS,NA,NA
19093,"Ida County, Iowa",Ida County,IA,Iowa,Ida,NA,IDA,NA,NA
19135,"Monroe County, Iowa",Monroe County,IA,Iowa,Monroe,NA,MONROE,NA,NA
19167,"Sioux County, Iowa",Sioux County,IA,Iowa,Sioux,NA,SIOUX,NA,NA
19025,"Calhoun County, Iowa",Calhoun County,IA,Iowa,Calhoun,NA,CALHOUN,NA,NA
19033,"Cerro Gordo County, Iowa",Cerro Gordo County,IA,Iowa,Cerro Gordo,NA,CERRO GORDO,32380,"Mason City, IA"
19083,"Hardin County, Iowa",Hardin County,IA,Iowa,Hardin,NA,HARDIN,NA,NA
19117,"Lucas County, Iowa",Lucas County,IA,Iowa,Lucas,NA,LUCAS,NA,NA
19147,"Palo Alto County, Iowa",Palo Alto County,IA,Iowa,Palo Alto,NA,PALO ALTO,NA,NA
19087,"Henry County, Iowa",Henry County,IA,Iowa,Henry,NA,HENRY,NA,NA
19099,"Jasper County, Iowa",Jasper County,IA,Iowa,Jasper,NA,JASPER,19780,"Des Moines-West Des Moines, IA"
19157,"Poweshiek County, Iowa",Poweshiek County,IA,Iowa,Poweshiek,NA,POWESHIEK,NA,NA
19043,"Clayton County, Iowa",Clayton County,IA,Iowa,Clayton,NA,CLAYTON,NA,NA
19017,"Bremer County, Iowa",Bremer County,IA,Iowa,Bremer,NA,BREMER,47940,"Waterloo-Cedar Falls, IA"
19063,"Emmet County, Iowa",Emmet County,IA,Iowa,Emmet,NA,EMMET,NA,NA
19081,"Hancock County, Iowa",Hancock County,IA,Iowa,Hancock,NA,HANCOCK,NA,NA
19097,"Jackson County, Iowa",Jackson County,IA,Iowa,Jackson,NA,JACKSON,NA,NA
19111,"Lee County, Iowa",Lee County,IA,Iowa,Lee,NA,LEE,22800,"Fort Madison-Keokuk, IA-IL-MO"
19181,"Warren County, Iowa",Warren County,IA,Iowa,Warren,NA,WARREN,19780,"Des Moines-West Des Moines, IA"
19123,"Mahaska County, Iowa",Mahaska County,IA,Iowa,Mahaska,NA,MAHASKA,36820,"Oskaloosa, IA"
